n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,mse,mae
1500,0.01,6,0.6,0.6,0.5,0.0,721145475.8865131,15528.649039490581
1500,0.01,6,0.6,0.6,0.5,1.0,721722862.696269,15540.788099315068
1500,0.01,6,0.6,0.6,0.5,0.5,722004725.6350813,15538.867923266267
1500,0.01,6,0.6,0.6,0.5,2.0,724959779.7351478,15604.473137842466
1500,0.01,10,0.6,0.6,1.0,0.5,726960169.9941975,15451.374143835616
1500,0.01,10,0.6,0.6,1.0,1.0,727924275.7765256,15497.967024293665
1500,0.01,6,0.6,0.6,1.0,1.0,727979348.3577511,15572.50515036387
1500,0.01,6,0.6,0.6,1.0,0.5,728374198.3752558,15530.316887842466
1500,0.01,6,0.6,0.6,1.0,0.0,728740737.5075965,15526.266936001712
1500,0.01,6,0.6,0.6,1.0,2.0,729076651.9757216,15486.378678831335
1500,0.01,10,0.6,0.6,1.0,0.0,729163159.6206113,15475.57492776113
1500,0.01,10,0.6,0.8,2.0,2.0,729747505.0362693,15819.233826519692
1500,0.01,8,0.6,0.8,2.0,2.0,733212441.990155,15826.716569456335
1500,0.01,6,0.6,0.6,2.0,0.5,733620019.6214689,15587.16628317637
1500,0.01,6,0.6,0.6,2.0,0.0,733620689.6409866,15587.187874571919
1500,0.01,6,0.6,0.6,2.0,1.0,733620965.0364254,15587.168343321919
1500,0.01,10,0.6,0.6,1.0,2.0,733994662.0908916,15542.119100492295
1500,0.01,6,0.6,0.6,2.0,2.0,734329275.3027785,15602.442436322774
1000,0.01,6,0.6,0.6,0.5,0.0,734376361.60062,15584.330412564212
1000,0.01,6,0.6,0.6,0.5,0.5,734376992.8822987,15584.337235124143
1000,0.01,6,0.6,0.6,0.5,1.0,734377506.4857125,15584.335482662671
1000,0.01,6,0.6,0.6,0.5,2.0,735722778.0878843,15615.17000214041
1500,0.01,8,0.6,0.6,2.0,0.0,735925106.2004732,15629.219338613013
1500,0.01,10,0.6,0.6,0.5,2.0,736133215.9734842,15643.230241331335
1500,0.01,8,0.6,0.6,2.0,2.0,736209150.6852571,15617.457860659246
1500,0.01,8,0.6,0.6,2.0,1.0,736740656.9445087,15619.415988869863
1500,0.01,8,0.6,0.6,0.5,0.5,736764427.4248996,15456.009217144692
1500,0.01,8,0.6,0.6,2.0,0.5,737273206.6697698,15642.610070633562
1500,0.01,8,0.6,0.6,0.5,0.0,737805321.9689106,15505.426195954624
1500,0.01,10,0.6,0.6,0.5,1.0,737890098.7594626,15687.544614190925
1500,0.01,10,0.6,0.6,2.0,0.0,738407615.2097249,15780.931600492295
1500,0.01,10,0.6,0.8,2.0,1.0,738612626.5384153,15869.77601937072
1500,0.01,8,0.6,0.6,0.5,2.0,738699234.5557723,15506.013364190925
1500,0.01,10,0.6,0.6,2.0,0.5,738953476.6595792,15802.21465646404
1500,0.01,10,0.6,0.6,0.5,0.5,739163246.908844,15587.11851187928
1500,0.01,10,0.6,0.6,2.0,1.0,739192285.023673,15788.035878638699
1500,0.01,10,0.6,0.8,2.0,0.5,739848521.5144898,15896.607261344177
1500,0.01,8,0.6,0.6,0.5,1.0,740059654.3388683,15484.345275042808
1500,0.01,10,0.6,0.8,2.0,0.0,740068680.8312972,15893.264086579624
1500,0.01,8,0.6,0.8,2.0,0.0,740105312.2814208,15895.409233197774
1500,0.01,8,0.6,0.8,2.0,0.5,740396089.7868513,15887.884872645547
1500,0.01,10,0.6,0.6,0.5,0.0,740432554.9627783,15596.105214576199
1000,0.01,6,0.6,0.6,1.0,1.0,741615090.2434922,15571.298895012842
1500,0.01,8,0.6,0.8,2.0,1.0,741639202.868831,15880.556466716609
1500,0.01,10,0.6,0.6,2.0,2.0,741807118.2802196,15770.869394798801
1000,0.01,6,0.6,0.6,1.0,0.0,743113914.1049606,15568.022220141267
1000,0.01,6,0.6,0.6,1.0,0.5,743114596.0314505,15568.025069563357
1000,0.01,8,0.6,0.6,0.5,0.5,743552935.6149627,15538.251096960616
1000,0.01,6,0.6,0.6,1.0,2.0,744502013.0621254,15544.31073416096
1000,0.01,8,0.6,0.6,0.5,0.0,744675015.6073145,15579.736622431506
1000,0.01,10,0.6,0.6,0.5,2.0,746428510.4312633,15701.66424978596
1000,0.01,8,0.6,0.6,0.5,2.0,746845953.8128309,15572.690108625857
1000,0.01,8,0.6,0.6,0.5,1.0,747239815.2835474,15555.32643942637
1000,0.01,10,0.6,0.6,0.5,1.0,748524747.2338942,15741.410383668665
1000,0.01,10,0.6,0.6,0.5,0.5,751370857.8484101,15671.747030179795
1000,0.01,10,0.6,0.6,0.5,0.0,751457277.902468,15673.705399186643
750,0.1,10,0.6,0.6,2.0,0.5,753396479.1955594,16856.23873608733
1500,0.1,10,0.6,0.6,2.0,0.5,753397254.2115207,16856.237264554795
1000,0.1,10,0.6,0.6,2.0,0.5,753397257.4162242,16856.237973565923
500,0.1,10,0.6,0.6,2.0,0.5,753423693.1267736,16857.030313570205
1500,0.01,8,0.6,0.6,1.0,0.0,753617727.5180919,15613.15278520976
750,0.01,6,0.6,0.6,0.5,0.0,753781006.7913336,15708.83327536387
750,0.01,6,0.6,0.6,0.5,0.5,753781470.3243561,15708.837569563357
750,0.01,6,0.6,0.6,0.5,1.0,753782289.6133213,15708.840806934932
